Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
465	-0.00050451	0.00416816	0.00419858	-1.45034214
466	0.00099828	0.00275848	0.00293356	1.22356392
467	0.00043913	0.00398822	0.00401233	1.46113256
468	0.00039266	0.00348658	0.00350862	1.45864953
469	-0.00111978	0.00278927	0.00300566	-1.18903225
470	-0.00206149	0.00226446	0.00306227	-0.83228166
471	-0.00019616	0.00160818	0.00162010	-1.44941704
472	-0.00110391	0.00172682	0.00204952	-1.00200087
473	0.00184951	-0.00059240	0.00194207	-0.30997848
474	0.00188795	0.00154199	0.00243764	0.68487211
475	0.00194672	0.00165794	0.00255705	0.70545679
476	0.00184212	0.00331425	0.00379179	1.06349634
477	0.00266179	0.00240566	0.00358780	0.73489829
478	0.00339697	0.00207841	0.00398236	0.54908204
479	0.00253882	0.00390632	0.00465886	0.99447271
480	0.00229248	0.00212477	0.00312572	0.74744826
481	0.00154598	0.00268648	0.00309955	1.04861214
482	0.00001961	0.00115908	0.00115925	1.55388303
483	0.00280473	0.00299470	0.00410302	0.81814268
484	0.00310767	0.00068858	0.00318304	0.21805281
485	0.00310926	0.00008956	0.00311055	0.02879688
486	0.00079181	0.00054384	0.00096058	0.60183664
487	0.00076437	0.00197992	0.00212235	1.20236447
488	0.00038739	0.00190394	0.00194296	1.37006915
489	-0.00045529	0.00174650	0.00180487	-1.31578761
490	-0.00311780	0.00184204	0.00362130	-0.53363726
491	-0.00349604	0.00182648	0.00394440	-0.48143973
492	-0.00437279	0.00036324	0.00438785	-0.08287859
493	-0.00269343	0.00013173	0.00269665	-0.04887062
494	-0.00088690	0.00426251	0.00435380	-1.36565217
495	-0.00020562	0.00301224	0.00301925	-1.50263944
496	-0.00153408	0.00219598	0.00267876	-0.96102074
497	0.00029604	0.00038851	0.00048844	0.91965772
498	0.00524070	0.00046407	0.00526121	0.08832054
499	0.00182896	0.00333791	0.00380614	1.06953855
500	0.00310489	0.00193748	0.00365980	0.55788551
501	0.00418515	0.00115882	0.00434262	0.27012237
